"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
220844	12857	0	0	73912837	DENVER SAVINGS BANK	121 SOUTH STATE STREET 	DENVER	IA	50622	051	2022-07-19T18:09:09
220974	29782	0	4081	264171270	FIRST FEDERAL BANK	611 EAST COLLEGE STREET 	DICKSON	TN	37055	051	2022-07-20T11:03:55
221775	31823	707506	7506	267087769	INTERAMERICAN BANK, A FEDERAL SAVINGS BANK	9190 CORAL WAY 	MIAMI	FL	33165	051	2022-07-29T13:00:23
222156	1609	0	0	91911548	FIRST STATE BANK OF WYOMING	26741 FELTON AVENUE 	WYOMING	MN	55092	051	2022-07-28T18:51:11
222446	13240	0	0	75905033	DENMARK STATE BANK	103 EAST MAIN STREET 	DENMARK	WI	54208	041	2022-07-20T14:35:38
222558	352	0	0	92105104	BANK OF BAKER, THE	116 S. MAIN ST. 	BAKER	MT	59313	051	2022-07-29T16:51:59
222754	19742	0	0	104001497	FIRST WESTROADS BANK, INC.	15750 WEST DODGE ROAD 	OMAHA	NE	68118	051	2022-07-23T12:29:19
223322	22918	0	11070	51404464	FIRST BANK AND TRUST COMPANY, THE	359 WEST MAIN STREET 	LEBANON	VA	24266	041	2022-07-28T10:03:58
223452	15415	0	0	81514829	PEOPLES BANK OF WYACONDA	310 SOUTH JOHNSON 	KAHOKA	MO	63445	051	2022-07-26T10:54:25
223751	15362	0	0	92905207	BELT VALLEY BANK	111 CASTNER STREET 	BELT	MT	59412	051	2022-07-20T09:30:45
223845	14772	0	0	73912756	DANVILLE STATE SAVINGS BANK	102 SOUTH WALNUT 	NEW LONDON	IA	52645	051	2022-07-29T14:39:19
224954	9035	0	0	91510428	HEADWATERS STATE BANK	4175 COUNTY ROAD B 	LAND O'LAKES	WI	54540	051	2022-07-25T12:40:14
225054	16410	0	0	101112046	ANDOVER STATE BANK	511 N. ANDOVER ROAD 	ANDOVER	KS	67002	051	2022-07-28T15:09:14
225157	8867	0	0	91209933	ULTIMA BANK MINNESOTA	9 WEST MINNESOTA AVENUE 	WINGER	MN	56592	051	2022-07-13T09:11:07
225559	23123	0	0	84003159	BANK OF BARTLETT	6281 STAGE ROAD 	BARTLETT	TN	38134	051	2022-08-18T16:55:29
225942	18463	0	0	73912808	HERITAGE BANK	695 MARION BOULEVARD 	MARION	IA	523020266	051	2022-07-15T13:47:43
226949	10816	0	0	81213269	GRAND RIVERS COMMUNITY BANK	260 SOUTH MAIN STREET 	GRAND CHAIN	IL	62941	041	2022-07-27T12:51:51
227151	1869	0	0	101100993	UNION STATE BANK	127 SOUTH SUMMIT STREET 	ARKANSAS CITY	KS	67005	051	2022-07-29T09:23:03
227357	3113	13678	0	113117194	BRENHAM NATIONAL BANK, THE	2211 S DAY 	BRENHAM	TX	77833	051	2022-07-15T11:40:52
227656	9189	0	0	84303338	BRIGHTON BANK	7663 HIGHWAY 51 SOUTH 	BRIGHTON	TN	38011	041	2022-08-09T15:03:12
227777	29835	704167	4167	211371324	MILFORD FEDERAL BANK	246 MAIN STREET 	MILFORD	MA	01757	051	2022-07-29T10:41:48
228000	19836	0	0	211274492	FRANKLIN SAVINGS BANK	197 MAIN STREET 	FARMINGTON	ME	04938	051	2022-07-26T14:51:46
228158	19212	0	0	81501227	FIRST MIDWEST BANK OF THE OZARKS	704 NORTH WESTWOOD BOULEVARD 	POPLAR BLUFF	MO	63901	051	2022-08-17T09:26:13
228279	29839	0	0	274970995	CROSSROADS BANK	1205 NORTH CASS STREET 	WABASH	IN	46992	051	2022-07-27T15:59:18
228345	9529	0	0	75907552	STATE BANK OF NEWBURG	300 CONGRESS DRIVE HWY 33E 	NEWBURG	WI	53060	051	2022-07-28T09:28:06
229070	31406	706896	6896	321170596	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	1030 THIRD STREET 	SAN RAFAEL	CA	94901	051	2022-07-26T11:12:03
229173	28288	701305	1305	211273749	AUBURN SAVINGS BANK, FSB	256 COURT STREET 	AUBURN	ME	04210	051	2022-07-30T13:54:27
229342	15651	0	0	73921831	STATE BANK & TRUST CO.	1025 6TH STREET 	NEVADA	IA	50201	041	2022-07-22T16:31:21
229454	11181	0	0	111917590	FIRST STATE BANK OF BROWNSBORO	14225 STATE HIGHWAY 31 E 	BROWNSBORO	TX	75756	051	2022-07-22T17:26:31
229801	9396	15790	0	21201383	VALLEY NATIONAL BANK	615 MAIN AVENUE 	PASSAIC	NJ	07055	041	2022-07-28T15:23:26
229913	21843	0	0	26008905	MIZUHO BANK (USA)	1271 AVENUE OF THE AMERICAS 	NEW YORK	NY	10020	031	2022-07-29T15:01:23
230423	14355	18783	0	41205246	FIRST CITIZENS NATIONAL BANK OF UPPER SANDUSKY, THE	100 N SANDUSKY AVE 	UPPER SANDUSKY	OH	43351	051	2022-07-28T11:51:35
230610	18858	0	0	44201030	HOCKING VALLEY BANK, THE	7 WEST STIMSON 	ATHENS	OH	45701	051	2022-07-20T12:50:03
230759	25679	0	0	114911580	INTERNATIONAL BANK OF COMMERCE	1600 FM 802 	BROWNSVILLE	TX	78521	041	2022-08-15T15:14:20
231279	30220	23158	0	281970881	CHESTER NATIONAL BANK	1112 STATE STREET 	CHESTER	IL	62233	051	2022-08-16T17:08:30
232847	1781	0	0	71115801	FIRST STATE BANK SHANNON-POLO	1 SOUTH LINN STREET 	SHANNON	IL	61078	051	2022-07-09T12:32:20
232856	19559	0	0	111902424	TEXASBANK	400 FISK STREET 	BROWNWOOD	TX	768012930	051	2022-09-08T12:55:37
233031	12368	0	9709	62005690	REGIONS BANK	1900 FIFTH AVENUE NORTH 	BIRMINGHAM	AL	35203	031	2022-07-29T17:56:27
233246	14904	0	0	73907897	FIRST COMMUNITY BANK	119 SOUTH FULTON STREET 	NEWELL	IA	50568	051	2022-07-19T10:19:57
233358	14779	14273	0	111901580	CITIZENS NATIONAL BANK AT BROWNWOOD	1 CARNEGIE 	BROWNWOOD	TX	76801	051	2022-07-27T11:05:55
233442	11317	0	0	81213780	IUKA STATE BANK, THE	205 WEST MAIN 	SALEM	IL	62881	051	2022-07-19T12:16:31
233527	35274	23903	16654	51402372	BLUE RIDGE BANK, NATIONAL ASSOCIATION	1 EAST MARKET STREET 	MARTINSVILLE	VA	24112	051	2022-10-05T15:06:00
233554	9123	0	0	91307149	WESTERN STATE BANK	110 4TH ST. SE 	DEVILS LAKE	ND	58301	051	2022-07-26T14:26:00
234355	4702	4284	0	101101293	CENTRAL NATIONAL BANK	802 NORTH WASHINGTON 	JUNCTION CITY	KS	66441	041	2022-09-13T17:31:35
234506	7018	1398	0	21307054	NATIONAL BANK OF COXSACKIE, THE	3-7 REED STREET 	COXSACKIE	NY	12051	041	2022-08-16T11:35:04
234739	10307	0	10396	61303348	FIRST VOLUNTEER BANK	728 BROAD STREET 	CHATTANOOGA	TN	37402	051	2022-07-30T09:23:36
234841	8506	0	0	73909015	NEW ALBIN SAVINGS BANK	118 MAIN NORTH EAST 	NEW ALBIN	IA	521600008	051	2022-07-21T12:28:53
235174	28302	701330	1330	271071062	MUTUAL FEDERAL BANK	2212 WEST CERMAK ROAD 	CHICAGO	IL	60608	051	2022-07-29T09:01:49
235231	6088	0	11182	64104052	UNION BANK	311 MAIN STREET NORTH 	JAMESTOWN	TN	38556	051	2022-07-20T10:27:42
235316	16193	0	0	44207872	ROCKHOLD BANK	101 MAIN STREET 	BAINBRIDGE	OH	45612	051	2022-08-04T14:46:29
235446	11702	0	0	71104692	SHELBY COUNTY STATE BANK	130 SOUTH MORGAN 	SHELBYVILLE	IL	62565	051	2022-07-29T10:37:59
235530	3701	5815	0	71914358	RESOURCE BANK, NATIONAL ASSOCIATION	555 BETHANY ROAD 	DEKALB	IL	60115	051	2022-07-27T16:42:33
235558	18724	0	0	104106761	CITIZENS STATE BANK	209 3RD STREET 	CARLETON	NE	68326	051	2022-09-01T14:30:24
235950	15237	0	0	101111458	JOHNSON STATE BANK	106 NORTH MAIN STREET 	JOHNSON	KS	67855	051	2022-07-14T11:17:33
236153	10248	0	0	91305031	FIRST INTERNATIONAL BANK AND TRUST	100 NORTH MAIN STREET 	WATFORD CITY	ND	58854	041	2022-08-08T16:38:11
236256	9385	16976	0	101908014	BANK OF BROOKFIELD-PURDIN NATIONAL ASSOCIATION	939 PARK CIRCLE DRIVE 	BROOKFIELD	MO	64628	051	2022-07-06T09:47:15
236603	7025	1323	0	21307096	DELAWARE NATIONAL BANK OF DELHI, THE	124 MAIN STREET 	DELHI	NY	13753	051	2022-08-16T13:07:24
236706	11035	0	0	21205237	PEAPACK-GLADSTONE BANK	500 HILLS DRIVE, SUITE 300 	BEDMINSTER	NJ	07921	041	2022-07-29T10:23:46
236957	1090	0	0	91101138	UPPER PENINSULA STATE BANK	430 NORTH LINCOLN ROAD 	ESCANABA	MI	49829	041	2022-07-29T19:10:57
237066	22957	24185	0	112304678	WEST TEXAS NATIONAL BANK	#6 DESTA DRIVE, SUITE 2400 	MIDLAND	TX	79705	041	2022-08-17T16:25:20
237619	20741	0	4949	221371372	PIONEER BANK	652 ALBANY SHAKER ROAD 	ALBANY	NY	12211	041	2022-07-29T11:51:53
237954	4241	11913	0	103111744	IDABEL NATIONAL BANK, THE	1201 SOUTHEAST WASHINGTON 	IDABEL	OK	74745	051	2022-07-29T14:13:12
238139	3702	0	0	71910776	FIRST BANK OF MANHATTAN	230 SOUTH STATE 	MANHATTAN	IL	60442	051	2022-07-28T16:50:23
238250	13196	0	0	91301899	PEOPLES STATE BANK	110 MAIN STREET 	WESTHOPE	ND	58793	051	2022-07-15T11:43:21
238737	26442	20157	17512	66012333	TERRABANK, NATIONAL ASSOCIATION	3191 CORAL WAY 	MIAMI	FL	33145	051	2022-08-26T15:11:33
239556	14276	0	0	91109994	FIRST BANK, UPPER MICHIGAN	1400 DELTA AVENUE 	GLADSTONE	MI	49837	051	2022-07-13T11:41:21
239613	7472	0	0	31303132	FNCB BANK	100 SOUTH BLAKELY STREET 	DUNMORE	PA	18512	051	2022-07-29T15:55:20
239659	3121	0	0	111907788	FIRST BANK	300 EAST 3RD STREET 	BURKBURNETT	TX	76354	051	2022-07-22T09:58:26
240954	23430	17001	0	111909281	FIRST NATIONAL BANK OF BURLESON	899 NORTHEAST ALSBURY 	BURLESON	TX	76028	051	2022-07-27T15:17:19
241009	7031	6487	0	21307164	FIRST NATIONAL BANK OF DRYDEN, THE	7 WEST MAIN STREET 	DRYDEN	NY	13053	051	2022-07-18T09:30:59
241157	4029	12591	0	103101026	VISION BANK, NATIONAL ASSOCIATION	101 EAST MAIN STREET 	ADA	OK	74820	041	2022-07-21T16:38:40
241559	15010	0	0	104913284	COLUMBUS BANK AND TRUST COMPANY	2501 13TH STREET 	COLUMBUS	NE	68601	051	2022-07-19T12:37:32
241607	17748	0	15348	211274573	GORHAM SAVINGS BANK	64 MAIN STREET 	GORHAM	ME	04038	051	2022-07-29T15:04:14
242257	15264	0	0	81508466	PEOPLES SAVINGS BANK OF RHINELAND	101 BLUFF STREET 	RHINELAND	MO	65069	051	2022-07-28T09:13:16
242444	18922	15738	0	75001199	TRI CITY NATIONAL BANK	6400 SOUTH 27TH STREET 	OAK CREEK	WI	53154	041	2022-07-26T12:45:27
242949	4482	0	0	73902096	FNNB BANK	100 NORTH 2ND AVENUE WEST 	NEWTON	IA	50208	051	2022-07-25T12:42:07
242958	1092	0	0	91102894	BAYBANK	104 S. 10TH STREET 	GLADSTONE	MI	49837	051	2022-07-25T11:51:05
242976	32527	0	0	252071159	BAYVANGUARD BANK	7114 NORTH POINT ROAD 	SPARROWS POINT	MD	21219	041	2022-07-27T16:31:30
243375	22653	0	0	124302529	GREEN DOT BANK	1675 NORTH 200 WEST 	PROVO	UT	84604	051	2022-09-14T15:41:20
243414	6528	2302	0	41204726	FIRST NATIONAL BANK OF BELLEVUE, THE	120 NORTH STREET 	BELLEVUE	OH	44811	051	2022-07-28T09:31:34
243955	2331	0	0	103103516	PEOPLES BANK & TRUST COMPANY	517 WASHINGTON STREET 	RYAN	OK	73565	051	2022-07-28T12:27:42
244037	2828	0	10482	62102221	FRIEND BANK	220 EAST LAWRENCE HARRIS HIGHWAY 	SLOCOMB	AL	36375	051	2022-07-26T09:21:12
244149	13303	0	0	82902139	BANK OF ENGLAND	123 SOUTH MAIN STREET 	ENGLAND	AR	72046	041	2022-07-28T10:57:19
244158	5394	0	0	104902363	WAYPOINT BANK	747 MERIDIAN AVENUE 	COZAD	NE	69130	051	2022-07-14T11:05:10
244251	15444	0	0	91300515	AMERICAN STATE BANK & TRUST COMPANY OF WILLISTON	223 MAIN STREET 	WILLISTON	ND	58801	051	2022-07-25T18:42:17
245016	25093	0	11840	26007362	HABIB AMERICAN BANK	99 MADISON AVENUE 	NEW YORK	NY	10016	031	2022-07-22T18:10:46
245276	31469	0	7034	221571415	ORIENTAL BANK	254 MUNOZ RIVERA AVENUE, 15TH FLOOR 	SAN JUAN	PR	00918	041	2022-10-05T13:57:24
245351	4031	0	0	103100959	FRAZER BANK	110 EAST BROADWAY 	ALTUS	OK	73521	051	2022-07-27T10:23:42
245557	5058	9087	0	91101879	SUPERIOR NATIONAL BANK	235 QUINCY STREET 	HANCOCK	MI	49930	051	2022-07-30T10:03:11
246022	26912	0	0	53201872	BANK OF SOUTH CAROLINA, THE	256 MEETING STREET 	CHARLESTON	SC	29401	041	2022-07-19T10:40:37
246134	2829	0	12485	62202477	FIRST SOUTHERN STATE BANK	80 BANK STREET 	STEVENSON	AL	35772	041	2022-07-25T10:51:44
246451	8572	0	0	81507166	CITIZENS BANK OF ROGERSVILLE	1001 WEST CENTER STREET 	ROGERSVILLE	MO	65742	051	2022-07-26T14:52:07
246657	1874	0	0	101001047	BANK OF LABOR	756 MINNESOTA AVENUE 	KANSAS CITY	KS	66101	041	2022-07-25T10:16:31
246947	3837	7015	0	81905069	FIRST NATIONAL BANK OF SPARTA, THE	BROADWAY AND MARKET STREET 	SPARTA	IL	62286	051	2022-07-06T14:12:54
246956	9465	0	0	103101275	ALVA STATE BANK & TRUST COMPANY	518 COLLEGE AVENUE 	ALVA	OK	73717	051	2022-07-27T16:59:47
247140	22334	0	0	75912275	ONE COMMUNITY BANK	733 NORTH MAIN STREET 	OREGON	WI	53575	051	2022-07-26T18:01:45
247355	15809	0	0	114921949	SECURITY STATE BANK & TRUST	201 WEST MAIN STREET 	FREDERICKSBURG	TX	786243709	051	2022-07-28T11:21:17
247476	28314	0	1350	253171197	RIVERSIDE SAVINGS BANK, SSB	325 BECKER DRIVE 	ROANOKE RAPIDS	NC	27870	051	2022-07-28T10:34:35
247551	3017	0	0	102102000	HIGH PLAINS BANK	329 MAIN AVENUE 	FLAGLER	CO	80815	051	2022-07-28T18:25:49
247908	13063	0	8510	211274502	KENNEBUNK SAVINGS BANK	104 MAIN ST 	KENNEBUNK	ME	04043	051	2022-07-21T09:28:33
248240	19506	0	0	71108559	BANK OF SPRINGFIELD	2600 STEVENSON DRIVE 	SPRINGFIELD	IL	62703	041	2022-07-28T10:25:21
248352	1983	0	0	104103829	WESTERN NEBRASKA BANK	301 CENTER AVENUE 	CURTIS	NE	69025	051	2022-07-22T11:24:29
248455	14801	0	0	91310770	FIRST STATE BANK & TRUST	22 EAST 4TH STREET 	WILLISTON	ND	58801	051	2022-07-26T11:07:33
248633	23376	0	13698	62203230	FIRST JACKSON BANK	43243 U.S. HIGHWAY 72 	STEVENSON	AL	35772	051	2022-07-27T12:22:22
248745	10380	0	0	75906346	OOSTBURG STATE BANK	905 CENTER AVENUE 	OOSTBURG	WI	53070	051	2022-07-27T16:46:54
249416	7631	0	0	31303093	UNB BANK	1 NORTH OAK STREET 	MOUNT CARMEL	PA	17851	051	2022-07-27T08:53:42
249612	16068	0	0	226070584	APPLE BANK FOR SAVINGS	122 EAST 42ND STREET 	NEW YORK	NY	10168	041	2022-07-29T17:18:16
249658	3019	0	0	107000929	ROCKY MOUNTAIN BANK AND TRUST	101 EAST MAIN STREET 	FLORENCE	CO	81226	051	2022-07-18T14:49:32
250430	21050	0	0	62202257	FIRST STATE BANK OF THE SOUTH, INC.	5856 HIGHWAY 278 	SULLIGENT	AL	35586	051	2022-07-28T12:15:29
250476	29399	703395	3395	271070924	GN BANK	4619 SOUTH MARTIN LUTHER KING DRIVE 	CHICAGO	IL	60653	051	2022-07-28T12:39:37
250850	25750	0	0	103103215	COMMUNITY BANK	1729 COLLEGE BOULEVARD 	ALVA	OK	73717	051	2022-07-28T12:55:26
251352	4033	12152	0	103101291	BANCCENTRAL, NATIONAL ASSOCIATION	604 FLYNN STREET 	ALVA	OK	73717	041	2022-07-29T17:04:36
251558	5062	3806	0	91101730	FIRST NATIONAL BANK & TRUST	233 SOUTH STEPHENSON AVENUE 	IRON MOUNTAIN	MI	49801	051	2022-07-29T18:50:19
251745	3863	13637	0	84101417	FIRST NATIONAL BANK OF EASTERN ARKANSAS	101 NORTH WASHINGTON STREET 	FORREST CITY	AR	72335	051	2022-07-13T10:03:57
251978	32459	708286	8286	311193059	HOMELAND FEDERAL SAVINGS BANK	7840 U.S. HIGHWAY 165 	COLUMBIA	LA	71418	051	2022-07-22T12:34:52
252041	14410	0	0	73911061	CITY STATE BANK	801 MAIN STREET 	NORWALK	IA	50211	051	2022-07-30T10:00:02
252452	10628	0	0	101911962	PREFERRED BANK	205 MAIN STREET 	ROTHVILLE	MO	64676	051	2022-07-17T10:26:35
252658	12426	0	0	101001005	COMMUNITY FIRST BANK	650 KANSAS AVENUE 	KANSAS CITY	KS	66105	051	2022-07-26T16:02:02
253356	3210	8899	0	113100091	MOODY NATIONAL BANK	2302 POSTOFFICE STREET 	GALVESTON	TX	77550	041	2022-07-26T16:55:13
253468	18983	0	0	121133416	RIVER CITY BANK	2485 NATOMAS PARK DRIVE 	SACRAMENTO	CA	95833	041	2022-08-08T13:20:43
253646	8094	0	0	73921530	NSB BANK	2650 4TH STREET SOUTHWEST 	MASON CITY	IA	50401	041	2022-08-04T16:28:41
253730	9615	0	15506	62104290	SWEET WATER STATE BANK	31385 AL HWY 10 	SWEET WATER	AL	36782	051	2022-07-20T13:10:30
253776	30241	0	5029	271173339	FIRST SAVANNA SAVINGS BANK	301 MAIN ST 	SAVANNA	IL	610740000	051	2022-07-25T14:58:37
254317	13397	0	0	21311383	BANK OF UTICA	222 GENESEE STREET 	UTICA	NY	13502	051	2022-07-28T09:16:29
254504	12959	0	0	22307820	CATTARAUGUS COUNTY BANK	120 MAIN STREET 	LITTLE VALLEY	NY	14755	051	2022-07-13T11:03:19
254849	20179	0	16107	72001079	FIRST INDEPENDENCE BANK	7310 WOODWARD AVENUE, SUITE 101 	DETROIT	MI	48202	051	2022-07-27T13:59:15
255350	10928	0	0	91109253	MINERS STATE BANK, THE	312 W. GENESEE ST. 	IRON RIVER	MI	49935	051	2022-07-21T12:15:26
255547	18889	0	0	81923452	COMMUNITY BANK OF TRENTON	104 EAST BROADWAY 	TRENTON	IL	62293	041	2022-07-19T18:21:31
255556	22717	0	0	103102274	CITIZENS BANK & TRUST COMPANY OF ARDMORE	1100 NORTH COMMERCE STREET 	ARDMORE	OK	73401	051	2022-07-14T09:48:23
255574	28316	0	1355	265070532	FIDELITY BANK	353 CARONDELET STREET 	NEW ORLEANS	LA	70130	051	2022-07-21T16:58:49
255659	16980	0	0	107002448	BANK OF COLORADO	1609 EAST HARMONY ROAD 	FORT COLLINS	CO	80525	041	2022-07-28T10:25:45
256058	24472	0	0	103102960	AMERICAN NATION BANK	1901 NORTH COMMERCE 	ARDMORE	OK	73401	051	2022-07-22T11:45:44
256076	28315	0	1351	302170405	RG BANK, A SAVINGS AND LOAN ASSOCIATION	901 FIRST AVENUE 	MONTE VISTA	CO	81144	051	2022-07-15T15:57:14
256179	22514	0	0	124302464	UTAH INDEPENDENT BANK	55 SOUTH STATE STREET 	SALINA	UT	84654	051	2022-07-21T14:01:04
256553	17437	0	0	91400172	DACOTAH BANK	308 SOUTH MAIN STREET 	ABERDEEN	SD	57401	041	2022-07-28T15:49:11
257233	2832	0	14230	62200961	FIRST BANK OF ALABAMA	120 EAST NORTH ST 	TALLADEGA	AL	35160	051	2022-07-29T14:39:26
257345	5317	5658	0	75906469	PESHTIGO NATIONAL BANK	250 FRENCH STREET 	PESHTIGO	WI	54157	051	2022-07-28T01:30:12
257578	31516	707101	7101	274970827	FIRST FEDERAL SAVINGS BANK	301 EAST 9TH STREET 	ROCHESTER	IN	46975	051	2022-07-27T13:46:17
257653	13415	0	0	103105530	FARMERS AND MERCHANTS BANK	225 EAST RENFROW 	ARNETT	OK	73832	051	2022-07-21T10:29:19
257756	23764	0	0	107003942	FMS BANK	520 SHERMAN STREET 	FORT MORGAN	CO	80701	051	2022-08-10T21:03:11
258146	23244	0	0	81224944	NORTH ADAMS STATE BANK	114 NORTH WARSAW STREET 	URSA	IL	62376	051	2022-07-19T16:53:55
258306	16101	0	7458	211170211	MILFORD BANK THE	33 BROAD STREET BOX 429	MILFORD	CT	06460	051	2022-07-28T15:08:54
258379	32348	0	8170	253171537	TAYLORSVILLE SAVINGS BANK, SSB	107 MAIN AVENUE DRIVE 	TAYLORSVILLE	NC	28681	051	2022-07-08T17:02:52
258445	20250	0	0	71109406	MARINE BANK	3050 WEST WABASH AVENUE 	SPRINGFIELD	IL	62704	051	2022-07-19T11:11:29
258539	11686	0	0	71112176	STATE BANK OF CHERRY	110 SOUTH MAIN STREET 	CHERRY	IL	61317	051	2022-07-20T16:38:02
258771	32489	0	8324	325084426	HOMESTREET BANK	1314 SIXTH AVENUE 	SEATTLE	WA	98101	041	2022-07-28T19:25:30
258874	29426	703435	3435	291270717	WORTHINGTON FEDERAL SAVINGS BANK, F.S.B.	418 11TH STREET 	WORTHINGTON	MN	56187	051	2022-07-28T12:12:13
259059	5401	0	0	104900802	F&M BANK	1701 STONE STREET 	FALLS CITY	NE	68355	051	2022-07-28T11:11:07
259330	17077	0	10112	62103592	FIRST US BANK	3291 US HIGHWAY 280 	BIRMINGHAM	AL	35243	041	2022-07-29T12:35:56
259442	9037	0	0	75908687	MOUND CITY BANK	25 EAST PINE STREET 	PLATTEVILLE	WI	53818	051	2022-07-21T11:54:05
259956	13249	0	0	91110093	STATE SAVINGS BANK OF MANISTIQUE, THE	101 SOUTH CEDAR STREET 	MANISTIQUE	MI	49854	051	2022-10-12T14:29:37
260055	23091	0	0	102103407	ALPINE BANK	2200 GRAND AVENUE 	GLENWOOD SPRINGS	CO	81601	041	2022-07-26T15:55:02
260831	889	0	0	61204971	GEORGIA FIRST BANK	1202 SECOND STREET NORTH 	SOPERTON	GA	30457	051	2022-10-13T09:23:19
261146	8120	0	0	83906888	MAGNOLIA BANK, INC	4910 L&N TURNPIKE ROAD 	MAGNOLIA	KY	42757	041	2022-07-29T14:11:43
261360	16753	0	0	113112995	CITIZENS STATE BANK	155 8TH STREET 	SOMERVILLE	TX	77879	051	2022-08-16T10:04:05
261940	3869	0	0	82905505	ANSTAFF BANK	100 FIRST NATIONAL AVENUE 	GREEN FOREST	AR	72638	051	2022-07-21T09:50:46
262059	2326	0	0	103102892	AVB BANK	322 SOUTH MAIN STREET 	BROKEN ARROW	OK	74012	051	2022-07-25T16:10:30
262237	21784	0	12916	61202452	FIRST PORT CITY BANK	400 WEST SHOTWELL STREET 	BAINBRIDGE	GA	39819	051	2022-07-29T13:17:28
262358	9967	0	0	111909210	AMERICAN STATE BANK	102 FRONT STREET 	ARP	TX	75750	051	2022-07-20T12:27:38
262741	12869	0	0	83902316	FARMERS BANK & TRUST COMPANY	201 SOUTH MAIN STREET 	MARION	KY	42064	051	2022-07-29T14:53:30
262844	12814	0	0	75908658	PEOPLES STATE BANK	301 EAST BLACKHAWK AVENUE 	PRAIRIE DU CHIEN	WI	53821	051	2022-07-28T16:54:06
262956	15165	0	0	91103181	PEOPLES STATE BANK OF MUNISING	100 E. SUPERIOR 	MUNISING	MI	49862	051	2022-07-28T09:59:58
263243	21247	0	0	83901113	FIRST KENTUCKY BANK, INC.	223 SOUTH SIXTH STREET 	MAYFIELD	KY	42066	041	2022-07-13T15:36:29
263627	6725	5635	0	44206475	FIRST NATIONAL BANK OF WAVERLY, THE	107 NORTH MARKET STREET 	WAVERLY	OH	45690	051	2022-07-20T09:38:53
264455	15206	0	0	111921777	FIRST STATE BANK	130 EAST CORSICANA STREET 	ATHENS	TX	757512502	051	2022-07-22T17:31:13
264772	32551	25228	0	124303256	LENDINGCLUB BANK, NATIONAL ASSOCIATION	2701 N THANKSGIVING WAY, SUITE 300 	LEHI	UT	84043	041	2022-07-29T18:02:17
265340	12163	0	0	83905546	FARMERS BANK OF MILTON, THE	41 FERRY STREET 	MILTON	KY	40045	051	2022-07-27T09:40:24
265407	18012	0	10780	211770271	BANK OF NEW HAMPSHIRE	62 PLEASANT STREET 	LACONIA	NH	03246	051	2022-08-03T14:07:35
265452	18165	0	0	101109321	STOCKGROWERS STATE BANK, THE	3RD & MAIN 	MAPLE HILL	KS	66507	051	2022-07-19T09:45:08
265676	31545	0	0	284373838	CENTRAL BANK	485 WAYNE ROAD 	SAVANNAH	TN	38372	051	2022-07-25T13:25:46
266066	26219	18609	0	111315794	FIRST NATIONAL BANK	729 W 7TH 	SPEARMAN	TX	790810337	051	2022-07-22T12:52:14
266244	12706	0	0	81006395	STATE BANK	885 NORTH ILLINOIS ROUTE 3 	WATERLOO	IL	62298	051	2022-08-08T11:35:01
266253	4061	0	0	103102368	ACB BANK	323 SOUTH GRAND 	CHEROKEE	OK	73728	051	2022-07-13T09:16:55
266655	5405	0	0	104901717	FIRST BANK AND TRUST OF FULLERTON	230 BROADWAY 	FULLERTON	NE	68638	051	2022-07-26T10:36:19
266851	14056	0	0	81914131	FARMERS AND MERCHANTS BANK OF ST. CLAIR	959 N. COMMERCIAL AVE 	SAINT CLAIR	MO	63077	051	2022-07-25T09:54:41
266945	292	0	0	83902581	MONTICELLO BANKING COMPANY	50 NORTH MAIN STREET 	MONTICELLO	KY	42633	051	2022-07-19T11:10:31
267652	16656	0	0	91916527	SECURITY STATE BANK OF AITKIN	402 MINNESOTA AVENUE NORTH 	AITKIN	MN	56431	051	2022-07-08T14:58:15
268006	18013	0	0	211770213	MASCOMA BANK	67 NORTH PARK STREET 	LEBANON	NH	03766	041	2022-07-28T14:18:26
268136	11295	0	0	61203558	CITIZENS BANK OF SWAINSBORO, THE	121 NORTH MAIN STREET 	SWAINSBORO	GA	30401	051	2022-07-22T12:19:00
268677	30394	705273	5273	226072498	CARVER FEDERAL SAVINGS BANK	75 WEST 125TH STREET 	NEW YORK	NY	10027	041	2022-07-29T15:03:54
268828	19011	0	0	51401153	LEGACY BANK	20957 RIVERSIDE DRIVE 	GRUNDY	VA	24614	041	2022-08-30T15:39:51
268976	27238	0	4390	211371573	WINCHESTER CO-OPERATIVE BANK	19 CHURCH STREET 	WINCHESTER	MA	01890	051	2022-07-29T11:59:29
269049	11763	0	0	73905187	VISIONBANK OF IOWA	104 CHESTNUT 	AMES	IA	50010	051	2022-07-25T18:06:49
269058	10989	0	0	91904610	LAKE CENTRAL BANK	40 CHESTNUT STREET WEST 	ANNANDALE	MN	55302	041	2022-07-20T14:38:54
269571	29471	0	3506	243373280	ARMSTRONG COUNTY BUILDING AND LOAN ASSOCIATION	935 FIFTH AVE. 	FORD CITY	PA	16226	051	2022-07-28T14:54:01
269759	8845	0	0	91211963	FARMERS AND MERCHANTS STATE BANK OF APPLETON	239 NORTH MILES STREET 	APPLETON	MN	56208	051	2022-07-18T14:35:20
